/home/nina/PycharmProjects/HW/lec_11/task_1/hohoh
/home/nina/PycharmProjects/HW/lec_2/hw1.txt
         623212 function calls (521212 primitive calls) in 1.927 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
       38    0.000    0.000    0.009    0.000 re.py:231(compile)
        8    0.000    0.000    0.000    0.000 enum.py:114(__prepare__)
        6    0.000    0.000    0.000    0.000 functools.py:44(update_wrapper)
       10    0.000    0.000    0.000    0.000 abc.py:135(<setcomp>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
        1    0.000    0.000    0.001    0.001 console_attr.py:87(<module>)
       87    0.000    0.000    0.000    0.000 __init__.py:422(<genexpr>)
       14    0.000    0.000    0.000    0.000 os.py:664(__getitem__)
       74    0.000    0.000    0.000    0.000 types.py:135(__get__)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
       95    0.000    0.000    0.000    0.000 inspect.py:159(isfunction)
        1    0.000    0.000    0.002    0.002 hashlib.py:54(<module>)
       87    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      118    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
       51    0.000    0.000    0.000    0.000 six.py:177(_add_module)
        1    0.000    0.000    0.000    0.000 tempfile.py:275(_RandomNameSequence)
        1    0.000    0.000    0.002    0.002 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:448(open)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
        4    0.000    0.000    0.000    0.000 locale.py:379(normalize)
       95    0.000    0.000    0.000    0.000 sre_parse.py:167(__setitem__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:728(create_module)
      113    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        6    0.000    0.000    0.000    0.000 argparse.py:1373(_add_action)
       44    0.000    0.000    0.000    0.000 six.py:105(__init__)
        1    0.000    0.000    0.000    0.000 lzma.py:9(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
       51    0.000    0.000    0.000    0.000 inspect.py:277(isbuiltin)
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:919(create_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
       40    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       17    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fb3e31a98c8}
        1    0.000    0.000    0.001    0.001 argparse.py:1613(__init__)
        1    0.000    0.000    0.014    0.014 console_io.py:16(<module>)
        1    0.000    0.000    0.000    0.000 termcolor.py:24(<module>)
       24    0.000    0.000    0.000    0.000 tokenize.py:148(<listcomp>)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
        1    0.000    0.000    1.884    1.884 core.py:78(Fire)
       70    0.000    0.000    0.000    0.000 enum.py:594(name)
       26    0.000    0.000    0.000    0.000 enum.py:822(_high_bit)
       76    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:562(Popen)
      132    0.000    0.000    0.000    0.000 six.py:88(__init__)
        2    0.000    0.000    0.000    0.000 parser.py:77(_LiteralEval)
        1    0.000    0.000    0.000    0.000 decoder.py:283(__init__)
        1    0.000    0.000    0.000    0.000 linecache.py:82(updatecache)
        1    0.000    0.000    0.000    0.000 inspect.py:1089(getfullargspec)
        1    0.000    0.000    0.000    0.000 inspect.py:2102(_signature_from_function)
        8    0.000    0.000    0.000    0.000 enum.py:65(__init__)
       89    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       75    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
        1    0.000    0.000    0.000    0.000 helptext.py:30(<module>)
